City,Missing_Values,Total_Possible,Missing_Percentage
Denver,71,5148,1.3791763791763791
Philadelphia,190,13968,1.3602520045819015
Louisville,55,4464,1.232078853046595
Charlotte,53,4536,1.1684303350970018
SanFrancisco,73,6552,1.1141636141636142
SanAntonio,50,4608,1.0850694444444444
Columbus,53,5508,0.962236746550472
Nashville,40,4212,0.949667616334283
Jacksonville,21,2304,0.9114583333333334
Indianapolis,36,4680,0.7692307692307693
Orlando,27,3600,0.75
Austin,21,3348,0.6272401433691757
Tampa,31,5040,0.6150793650793651
Miami,34,6768,0.5023640661938534
