Column,Missing_Count,Missing_Percentage,Data_Type
Median Home Rent (2020-2024),310,14.932562620423893,float64
Median Household Income (2020-2024),142,6.840077071290944,float64
Commute Mean Travel Time (2020-2024),132,6.358381502890173,float64
Per Capita Income (2020-2024),59,2.842003853564547,float64
Unemployment Rate (2020-2024),55,2.649325626204239,float64
Labor Force Participation Rate (2020-2024),41,1.97495183044316,float64
Percent Change in Population (Difference Decennial Census 2020 - 2010),16,0.7707129094412332,float64
Income 100% to 124% the Poverty Level (2020-2024),0,0.0,int64
Total Housing Units (2020-2024),0,0.0,int64
Income 49% and Below Poverty Level (2020-2024),0,0.0,int64
Income 50% to 99% the Poverty Level (2020-2024),0,0.0,int64
Income 150% to 184% the Poverty Level (2020-2024),0,0.0,int64
Income 125% to 149% the Poverty Level (2020-2024),0,0.0,int64
Rental Vacancy Rate (2020-2024),0,0.0,float64
Income 185% to 199% the Poverty Level (2020-2024),0,0.0,int64
Income 200% and Over the Poverty Level (2020-2024),0,0.0,int64
Commute Transportation by Public Transit (2020-2024),0,0.0,int64
No Vehicles Available (2020-2024),0,0.0,int64
Homeowner Vacancy Rate (2020-2024),0,0.0,float64
city,0,0.0,object
geoid,0,0.0,int64
Housing Built 1960 to 1969 (2020-2024),0,0.0,int64
feature label,0,0.0,object
feature id,0,0.0,object
shid,0,0.0,object
Housing Built 1939 or Earlier (2020-2024),0,0.0,int64
Housing Built 1940 to 1949 (2020-2024),0,0.0,int64
Housing Built 1950 to 1959 (2020-2024),0,0.0,int64
Housing Built 1970 to 1979 (2020-2024),0,0.0,int64
Home Owner Excessive Housing Costs (2020-2024),0,0.0,int64
Housing Built 1980 to 1989 (2020-2024),0,0.0,int64
Housing Built 1990 to 1999 (2020-2024),0,0.0,int64
Housing Built 2000 to 2009 (2020-2024),0,0.0,int64
Housing Built 2010 to 2019 (2020-2024),0,0.0,int64
Housing Built 2020 or Later (2020-2024),0,0.0,int64
Renter Excessive Housing Costs (2020-2024),0,0.0,int64
Total Population (2020-2024),0,0.0,int64
